,loss,config/lr,config/batchSize,config/hidden,config/epochs,config/kld,config/decode_hidden
4,0.0230024605989456,0.0005,8,128,10,1e-05,128
16,0.0230024605989456,0.0005,8,128,10,1e-05,128
3,0.0254350304603576,0.001,8,128,10,1e-05,128
15,0.0254350304603576,0.001,8,128,10,1e-05,128
5,0.0360729992389678,0.0001,8,128,10,1e-05,128
17,0.0360729992389678,0.0001,8,128,10,1e-05,128
6,0.0378927811980247,5e-05,8,128,10,1e-05,128
18,0.0378927811980247,5e-05,8,128,10,1e-05,128
7,0.068393163383007,1e-05,8,128,10,1e-05,128
19,0.068393163383007,1e-05,8,128,10,1e-05,128
8,0.1051568984985351,5e-06,8,128,10,1e-05,128
20,0.1051568984985351,5e-06,8,128,10,1e-05,128
2,0.1143807992339134,0.01,8,128,10,1e-05,128
14,0.1143807992339134,0.01,8,128,10,1e-05,128
21,0.1302994787693023,1e-06,8,128,10,1e-05,128
9,0.1302994787693023,1e-06,8,128,10,1e-05,128
22,0.1367785483598709,5e-07,8,128,10,1e-05,128
10,0.1367785483598709,5e-07,8,128,10,1e-05,128
11,0.233823537826538,1e-07,8,128,10,1e-05,128
23,0.233823537826538,1e-07,8,128,10,1e-05,128
0,,1.0,8,128,10,1e-05,128
1,,0.1,8,128,10,1e-05,128
12,,1.0,8,128,10,1e-05,128
13,,0.1,8,128,10,1e-05,128
